State Name,Dist Name,Season,Crops,observed_years,first_year,last_year,active_years,mean_area_1000ha,total_area_1000ha,mean_production_1000t,total_production_1000t,mean_yield_kg_ha,mean_t2m_max,area_share,consistency_score,evidence_score
west bengal,birbhum,rabi,rapeseed and mustard,34,1984,2017,34,34.20823529411764,1163.08,30.77794117647059,1046.45,906.2697058823529,29.067722819411767,0.5081017759601492,1.0,0.8524305327880447
west bengal,birbhum,rabi,safflower,18,1995,2017,18,0.03666666666666667,0.66,0.013888888888888888,0.25,427.5627777777778,28.555011254999997,0.0005446173499360771,0.5294117647058824,0.37075162049909843
west bengal,birbhum,rabi,sunflower,12,1985,2017,12,0.0725,0.87,0.06166666666666667,0.74,1021.93,28.490844479166668,0.0010768570328281526,0.35294117647058826,0.24738188063926023
west bengal,birbhum,rabi,wheat,34,1984,2017,34,25.35970588235294,862.23,65.21588235294118,2217.34,2510.6117647058823,29.067722819411767,0.3766727948946929,1.0,0.8130018384684078
west bengal,burdwan,annual,sugarcane,34,1984,2017,34,1.083235294117647,36.83,7.529117647058824,255.99,7004.25,44.80470588235294,1.0,1.0,1.0
west bengal,burdwan,kharif,cotton,4,2005,2008,4,0.9850000000000001,3.9400000000000004,0.3025,1.21,260.5225,31.3540032675,0.0014758283048239898,0.11764705882352941,0.08279568966791778
west bengal,burdwan,kharif,groundnut,30,1988,2017,30,1.6030000000000002,48.09,2.9356666666666666,88.07,1714.9646666666667,31.618115469,0.002401779464601884,0.8823529411764706,0.6183675926629099
west bengal,burdwan,kharif,maize,30,1984,2017,30,0.29600000000000004,8.88,0.541,16.23,1673.6996666666666,31.663668846,0.0004434976428709655,0.8823529411764706,0.6177801081163906
west bengal,burdwan,kharif,minor pulses,34,1984,2017,34,3.6376470588235295,123.68,3.7752941176470594,128.36,899.8241176470589,31.677014610294115,0.005450296946570052,1.0,0.701635089083971
west bengal,burdwan,kharif,oilseeds,29,1984,2014,29,49.01206896551724,1421.35,38.89689655172414,1128.01,786.9068965517241,31.693378409310345,0.07343492249471653,0.8529411764705882,0.6190893002778267
west bengal,burdwan,kharif,pearl millet,4,2000,2003,4,0.1,0.4,0.11,0.44,1100.0,31.310375817500002,0.00014983028475370455,0.11764705882352941,0.0823978902618967
west bengal,burdwan,kharif,pigeonpea,26,1988,2017,26,0.15115384615384617,3.93,0.11384615384615385,2.96,826.6976923076923,31.70718954307692,0.00022647423810848418,0.7647058823529411,0.5353620599184913
west bengal,burdwan,kharif,rice,34,1984,2017,34,599.2879411764707,20375.79,1696.9129411764707,57695.04,2819.201176470588,31.677014610294115,0.8979148287593194,1.0,0.9693744486277958
west bengal,burdwan,kharif,sesamum,30,1988,2017,30,12.318999999999999,369.57,9.453666666666667,283.61,754.341,31.618115469,0.01845759277880886,0.8823529411764706,0.623184336657172
west bengal,burdwan,kharif,sorghum,3,1990,1997,3,0.01,0.03,0.0,0.0,0.0,31.564705883333335,1.4983028475370454e-05,0.08823529411764706,0.061769200790895554
west bengal,burdwan,kharif,soyabean,16,1997,2016,16,0.02,0.32,0.01375,0.22,721.886875,31.633586601875,2.9966056950740907e-05,0.47058823529411764,0.3294207545229676
west bengal,burdwan,rabi,barley,14,1984,2013,14,0.09571428571428572,1.34,0.10571428571428572,1.48,1072.3778571428572,29.780181455714285,0.002407522291775215,0.4117647058823529,0.2889575508051796
west bengal,burdwan,rabi,chickpea,34,1984,2017,34,0.5408823529411765,18.39,0.4161764705882353,14.15,806.1079411764705,29.259676162058824,0.013604931721695497,1.0,0.7040814795165086
west bengal,burdwan,rabi,linseed,18,1990,2017,18,0.17722222222222223,3.19,0.042777777777777776,0.77,191.2461111111111,29.039773658888887,0.004457709185351621,0.5294117647058824,0.3719255480497231
west bengal,burdwan,rabi,rabi sorghum,3,1990,1997,3,0.01,0.03,0.0,0.0,0.0,29.910677356666667,0.00025153217973770904,0.08823529411764706,0.06184016553627426
west bengal,burdwan,rabi,rapeseed and mustard,34,1984,2017,34,34.83764705882353,1184.48,30.507058823529412,1037.24,882.4323529411765,29.259676162058824,0.8762789301638869,1.0,0.9628836790491659
west bengal,burdwan,rabi,safflower,18,1995,2017,18,0.017777777777777778,0.32,0.009444444444444445,0.17,572.0899999999999,28.705487297222223,0.0004471683195337049,0.5294117647058824,0.37072238578997774
west bengal,burdwan,rabi,sunflower,14,1985,2017,14,0.09857142857142856,1.38,0.11071428571428572,1.55,1298.4157142857143,28.616214584999998,0.0024793886288431316,0.4117647058823529,0.28897911070629995
